,indoor_sensor_index,outdoor_sensor_index,indoor_sensor_index,indoor_pm2.5,indoor_pm1.0,indoor_pm10.0,indoor_scattering_coefficient,indoor_deciviews,indoor_visual_range,indoor_pressure,indoor_temperature,indoor_altitude,indoor_humidity,outdoor_sensor_index,outdoor_pm2.5,outdoor_pm1.0,outdoor_pm10.0,outdoor_scattering_coefficient,outdoor_deciviews,outdoor_visual_range,outdoor_pressure,outdoor_temperature,outdoor_altitude,outdoor_humidity
79,120071.0,43339.0,120071.0,0.0,0.0,0.0,1.3,1.5,336.1,849.78,75.0,5139.0,20.0,43339.0,9.0,5.1,11.1,17.9,11.5,124.2,849.94,61.0,5122.0,34.0
80,120077.0,43339.0,120077.0,0.0,0.0,0.3,1.1,1.2,345.3,849.23,76.0,5139.0,21.0,43339.0,9.0,5.1,11.1,17.9,11.5,124.2,849.94,61.0,5122.0,34.0
81,120149.0,91661.0,120149.0,3.2,1.8,4.4,7.5,6.4,205.5,860.4,83.0,4813.0,17.0,91661.0,32.0,20.6,42.3,60.2,21.1,47.4,863.44,58.0,4721.0,37.0
82,120231.0,129303.0,120231.0,0.2,0.0,0.4,1.6,1.8,325.5,868.26,76.0,4564.0,24.0,129303.0,31.6,20.9,36.8,,,,869.92,56.0,4513.0,39.0
83,120455.0,131045.0,120455.0,0.0,0.0,0.0,0.1,0.2,384.1,861.53,72.0,4798.0,26.0,131045.0,17.8,6.6,19.2,,,,860.36,66.0,4812.0,28.0
84,121777.0,5460.0,121777.0,1.4,0.5,1.4,3.8,3.7,269.0,874.99,74.0,4350.0,27.0,5460.0,30.4,20.7,35.2,59.6,21.0,48.0,875.85,64.0,4351.0,29.0
85,122391.0,112884.0,122391.0,1.0,0.3,1.2,3.1,3.2,284.1,868.72,76.0,4577.0,22.0,112884.0,27.3,18.3,31.1,,,,868.12,52.0,4573.0,44.0
86,122573.0,11358.0,122573.0,0.5,0.0,0.6,2.5,2.6,300.3,799.06,73.0,6855.0,17.0,11358.0,0.8,0.2,0.9,3.3,3.3,279.9,,,6830.0,
87,123073.0,45707.0,123073.0,0.2,0.0,0.6,1.8,2.0,319.3,858.61,83.0,4862.0,20.0,45707.0,20.1,12.6,26.8,37.6,17.0,72.3,653.88,72.0,4859.0,46.0
88,123211.0,142950.0,123211.0,4.7,2.6,5.2,8.4,7.0,194.2,867.23,81.0,4605.0,15.0,142950.0,21.0,14.3,23.3,37.7,17.1,70.6,869.29,79.0,4549.0,24.0
