,time,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,latitiude,longitude
143,2021-02-14,22.0,47.6,301,41.23023,111.91977
144,2021-02-15,24.4,51.2,317,41.23023,111.91977
145,2021-02-16,22.6,49.9,320,41.23023,111.91977
146,2021-02-17,19.0,40.5,279,41.23023,111.91977
147,2021-02-18,20.2,43.6,276,41.23023,111.91977
148,2021-02-19,18.1,39.6,262,41.23023,111.91977
149,2021-02-20,17.2,40.3,277,41.23023,111.91977
150,2021-02-21,17.1,37.6,329,41.23023,111.91977
151,2021-02-22,7.8,21.3,271,41.23023,111.91977
152,2021-02-23,7.8,18.1,239,41.23023,111.91977
153,2021-02-24,8.1,19.7,354,41.23023,111.91977
154,2021-02-14,13.6,28.6,288,40.94903,111.92308
155,2021-02-15,13.9,29.8,309,40.94903,111.92308
156,2021-02-16,14.9,31.3,302,40.94903,111.92308
157,2021-02-17,9.3,22.6,247,40.94903,111.92308
158,2021-02-18,8.6,19.7,149,40.94903,111.92308
159,2021-02-19,9.8,21.0,165,40.94903,111.92308
160,2021-02-20,10.7,23.5,245,40.94903,111.92308
161,2021-02-21,10.1,22.4,351,40.94903,111.92308
162,2021-02-22,6.8,16.3,79,40.94903,111.92308
163,2021-02-23,6.4,13.6,68,40.94903,111.92308
164,2021-02-24,8.1,17.2,25,40.94903,111.92308
165,2021-02-25,9.4,18.3,134,40.667835,111.92634
166,2021-02-26,15.5,28.9,190,40.667835,111.92634
167,2021-02-27,15.6,29.3,19,40.667835,111.92634
168,2021-02-28,11.2,21.3,350,40.667835,111.92634
169,2021-03-01,16.8,30.6,237,40.667835,111.92634
170,2021-03-02,15.3,26.8,231,40.667835,111.92634
171,2021-03-03,14.7,26.8,229,40.667835,111.92634
172,2021-03-04,13.5,25.7,236,40.667835,111.92634
173,2021-03-05,14.5,25.1,38,40.667835,111.92634
174,2021-03-06,6.4,16.1,201,40.667835,111.92634
175,2021-03-07,9.4,21.0,202,40.667835,111.92634
176,2021-02-25,21.2,46.5,171,41.23023,111.91977
177,2021-02-26,23.5,51.7,193,41.23023,111.91977
178,2021-02-27,22.2,46.8,326,41.23023,111.91977
179,2021-02-28,16.6,37.1,319,41.23023,111.91977
180,2021-03-01,17.0,38.5,261,41.23023,111.91977
181,2021-03-02,16.7,36.9,242,41.23023,111.91977
182,2021-03-03,17.0,36.0,249,41.23023,111.91977
183,2021-03-04,13.5,30.4,231,41.23023,111.91977
184,2021-03-05,11.5,22.4,48,41.23023,111.91977
185,2021-03-06,10.9,25.1,230,41.23023,111.91977
186,2021-03-07,12.4,28.9,206,41.23023,111.91977
187,2021-02-25,8.4,20.1,64,40.94903,111.92308
188,2021-02-26,15.6,31.3,210,40.94903,111.92308
189,2021-02-27,15.0,31.3,19,40.94903,111.92308
190,2021-02-28,11.7,26.6,3,40.94903,111.92308
191,2021-03-01,14.8,31.1,281,40.94903,111.92308
192,2021-03-02,12.3,25.9,205,40.94903,111.92308
193,2021-03-03,12.8,26.8,203,40.94903,111.92308
194,2021-03-04,13.7,27.1,38,40.94903,111.92308
195,2021-03-05,13.3,26.2,46,40.94903,111.92308
196,2021-03-06,7.4,17.7,65,40.94903,111.92308
197,2021-03-07,8.2,21.9,170,40.94903,111.92308
198,2021-03-08,8.7,21.0,214,40.667835,111.92634
199,2021-03-09,8.3,15.9,213,40.667835,111.92634
200,2021-03-10,10.8,21.9,215,40.667835,111.92634
201,2021-03-11,8.5,19.0,89,40.667835,111.92634
202,2021-03-12,8.4,19.7,46,40.667835,111.92634
203,2021-03-13,17.3,32.0,177,40.667835,111.92634
204,2021-03-14,17.5,32.2,287,40.667835,111.92634
205,2021-03-15,10.8,18.6,43,40.667835,111.92634
206,2021-03-16,9.8,18.8,95,40.667835,111.92634
207,2021-03-17,9.1,17.4,94,40.667835,111.92634
208,2021-03-18,9.1,17.0,108,40.667835,111.92634
209,2021-03-08,11.4,25.5,225,41.23023,111.91977
210,2021-03-09,12.8,31.1,199,41.23023,111.91977
211,2021-03-10,12.8,28.2,194,41.23023,111.91977
212,2021-03-11,8.7,21.9,251,41.23023,111.91977
213,2021-03-12,8.8,20.1,237,41.23023,111.91977
214,2021-03-13,18.8,39.4,186,41.23023,111.91977
215,2021-03-14,20.7,50.3,301,41.23023,111.91977
216,2021-03-15,14.7,36.0,88,41.23023,111.91977
217,2021-03-16,11.4,25.1,97,41.23023,111.91977
218,2021-03-17,9.3,19.7,161,41.23023,111.91977
219,2021-03-18,9.7,21.9,162,41.23023,111.91977
220,2021-03-08,8.8,23.0,270,40.94903,111.92308
221,2021-03-09,6.7,16.3,124,40.94903,111.92308
222,2021-03-10,7.9,17.2,159,40.94903,111.92308
223,2021-03-11,7.2,19.9,322,40.94903,111.92308
224,2021-03-12,9.9,20.6,6,40.94903,111.92308
225,2021-03-13,11.5,24.4,134,40.94903,111.92308
226,2021-03-14,29.0,57.5,330,40.94903,111.92308
227,2021-03-15,11.5,22.8,42,40.94903,111.92308
228,2021-03-16,12.6,25.7,47,40.94903,111.92308
229,2021-03-17,10.1,19.2,75,40.94903,111.92308
230,2021-03-18,9.3,20.1,58,40.94903,111.92308
231,2021-03-19,16.3,31.3,314,40.667835,111.92634
232,2021-03-20,17.9,33.6,298,40.667835,111.92634
233,2021-03-21,14.5,28.4,244,40.667835,111.92634
234,2021-03-22,14.7,28.6,236,40.667835,111.92634
235,2021-03-23,10.1,19.9,34,40.667835,111.92634
236,2021-03-24,7.9,13.0,162,40.667835,111.92634
237,2021-03-25,13.1,24.4,233,40.667835,111.92634
238,2021-03-26,12.3,24.4,215,40.667835,111.92634
239,2021-03-27,18.2,37.1,289,40.667835,111.92634
240,2021-03-28,11.9,24.8,5,40.667835,111.92634
241,2021-03-29,8.7,17.9,161,40.667835,111.92634
242,2021-03-19,21.4,46.1,321,41.23023,111.91977
243,2021-03-20,21.2,45.2,317,41.23023,111.91977
244,2021-03-21,19.5,41.6,282,41.23023,111.91977
245,2021-03-22,17.0,36.7,238,41.23023,111.91977
246,2021-03-23,15.6,33.1,350,41.23023,111.91977
247,2021-03-24,16.4,36.0,201,41.23023,111.91977
248,2021-03-25,15.1,35.1,220,41.23023,111.91977
249,2021-03-26,17.2,37.6,220,41.23023,111.91977
250,2021-03-27,21.6,46.8,301,41.23023,111.91977
251,2021-03-28,20.6,45.4,319,41.23023,111.91977
252,2021-03-29,14.6,32.0,211,41.23023,111.91977
253,2021-03-19,16.4,33.8,325,40.94903,111.92308
254,2021-03-20,17.2,36.0,304,40.94903,111.92308
255,2021-03-21,13.6,28.6,286,40.94903,111.92308
256,2021-03-22,12.0,25.5,213,40.94903,111.92308
257,2021-03-23,11.7,24.6,22,40.94903,111.92308
258,2021-03-24,6.8,17.4,49,40.94903,111.92308
259,2021-03-25,9.2,24.4,222,40.94903,111.92308
260,2021-03-26,10.8,24.2,196,40.94903,111.92308
261,2021-03-27,27.1,53.9,306,40.94903,111.92308
262,2021-03-28,12.7,27.7,330,40.94903,111.92308
263,2021-03-29,8.3,20.4,107,40.94903,111.92308
264,2021-03-30,11.8,23.9,77,40.667835,111.92634
265,2021-03-31,12.5,24.6,116,40.667835,111.92634
266,2021-04-01,9.7,19.2,243,40.667835,111.92634
267,2021-04-02,12.1,22.1,31,40.667835,111.92634
268,2021-04-03,7.0,17.7,80,40.667835,111.92634
269,2021-04-04,7.2,12.1,47,40.667835,111.92634
270,2021-04-05,3.5,11.9,222,40.667835,111.92634
271,2021-04-06,8.5,15.9,58,40.667835,111.92634
272,2021-04-07,7.0,16.8,219,40.667835,111.92634
273,2021-04-08,11.4,19.0,223,40.667835,111.92634
274,2021-04-09,14.1,27.5,203,40.667835,111.92634
275,2021-03-30,15.2,32.4,31,41.23023,111.91977
276,2021-03-31,18.8,40.0,146,41.23023,111.91977
277,2021-04-01,16.6,38.7,268,41.23023,111.91977
278,2021-04-02,12.9,29.1,32,41.23023,111.91977
279,2021-04-03,9.6,20.6,84,41.23023,111.91977
280,2021-04-04,8.5,19.7,184,41.23023,111.91977
281,2021-04-05,6.4,18.8,146,41.23023,111.91977
282,2021-04-06,8.0,15.0,33,41.23023,111.91977
283,2021-04-07,12.5,27.1,264,41.23023,111.91977
284,2021-04-08,12.9,27.7,295,41.23023,111.91977
285,2021-04-09,16.4,35.1,206,41.23023,111.91977
286,2021-03-30,14.7,29.3,32,40.94903,111.92308
287,2021-03-31,15.7,30.9,81,40.94903,111.92308
288,2021-04-01,10.0,23.9,349,40.94903,111.92308
289,2021-04-02,11.6,23.5,35,40.94903,111.92308
290,2021-04-03,8.6,20.8,41,40.94903,111.92308
291,2021-04-04,7.2,13.6,45,40.94903,111.92308
292,2021-04-05,4.6,16.3,99,40.94903,111.92308
293,2021-04-06,8.8,17.4,26,40.94903,111.92308
294,2021-04-07,9.3,20.8,253,40.94903,111.92308
295,2021-04-08,10.6,21.5,230,40.94903,111.92308
296,2021-04-09,13.0,27.7,209,40.94903,111.92308
297,2021-04-10,14.9,28.0,212,40.667835,111.92634
