,county,longitude,latitude,category
229,Salt Lake County,-111.9142586618678,40.732772640088804,red
230,Salt Lake County,-111.92817073829244,40.73749442587272,green
231,Salt Lake County,-111.9327242708542,40.73093496461793,orange
232,Salt Lake County,-111.89694078602857,40.74591050575336,red
233,Salt Lake County,-111.89627849256003,40.737542318111394,red
234,Salt Lake County,-111.89630102171033,40.72948734275456,red
235,Salt Lake County,-111.87678346006601,40.74571053387235,green
236,Salt Lake County,-111.88536192369095,40.745704777346674,green
237,Salt Lake County,-111.87392436455174,40.73757353304096,green
238,Salt Lake County,-111.87963488038473,40.73757182958391,orange
239,Salt Lake County,-111.88535595899671,40.73756960188565,red
240,Salt Lake County,-111.87393249576559,40.729477221168324,green
241,Salt Lake County,-111.87963327884303,40.7294777731623,orange
242,Salt Lake County,-111.88535037430465,40.72948193345524,orange
243,Salt Lake County,-111.85675226245644,40.729460327673635,green
244,Salt Lake County,-111.86247926776986,40.729468038959304,orange
245,Salt Lake County,-111.86821443841067,40.72946559481934,orange
246,Salt Lake County,-111.85673527431199,40.73756628521113,green
247,Salt Lake County,-111.86247940412186,40.737575956791645,orange
248,Salt Lake County,-111.86820513108704,40.737574385628754,green
249,Salt Lake County,-111.85673302635273,40.74570834009053,blue
250,Salt Lake County,-111.86245258108443,40.74573142405474,green
251,Salt Lake County,-111.86820604779626,40.74571576436213,green
252,Salt Lake County,-111.84488020864912,40.74606549408806,green
253,Salt Lake County,-111.85078330933942,40.746613794891125,blue
254,Salt Lake County,-111.84512032369354,40.73757588898829,blue
255,Salt Lake County,-111.85091106154592,40.73759195496155,green
256,Salt Lake County,-111.84510693141587,40.729602864867566,green
257,Salt Lake County,-111.85097203773981,40.729634573985926,green
258,Salt Lake County,-111.82791055768845,40.729512594550265,green
259,Salt Lake County,-111.83365726817605,40.7295513078103,green
260,Salt Lake County,-111.8394022318343,40.72955411428364,green
261,Salt Lake County,-111.82698778386651,40.73693749374088,green
262,Salt Lake County,-111.83363450546108,40.73762416337682,blue
263,Salt Lake County,-111.83939642465364,40.737621675573926,blue
264,Salt Lake County,-111.83312588848509,40.74583181539999,green
265,Salt Lake County,-111.83931229015097,40.74608967881994,blue
266,Salt Lake County,-111.80761127053216,40.72740241814453,blue
267,Salt Lake County,-111.80955076397164,40.74472501514897,blue
268,Salt Lake County,-111.82136976705338,40.746668619395344,blue
269,Salt Lake County,-111.81943629140402,40.738512398068345,blue
270,Salt Lake County,-111.81070095877321,40.73902672666136,blue
271,Salt Lake County,-111.80574120400028,40.744204588368355,green
272,Salt Lake County,-111.82111862277172,40.729255236708866,green
273,Salt Lake County,-111.81622027058185,40.722414712443204,orange
274,Salt Lake County,-111.81966269315053,40.71690710448916,blue
275,Salt Lake County,-111.82782405857957,40.721600353858186,blue
276,Salt Lake County,-111.83499774918997,40.71479315249573,orange
277,Salt Lake County,-111.84802984374221,40.71614374523324,green
278,Salt Lake County,-111.85951074716536,40.716191929993485,green
279,Salt Lake County,-111.83858477342908,40.710153963048555,orange
280,Salt Lake County,-111.84892311458998,40.70951179167704,green
281,Salt Lake County,-111.85684644328786,40.708804560998544,green
282,Salt Lake County,-111.8640341928193,40.70915761814007,orange
283,Salt Lake County,-111.87401597439468,40.72198055175356,orange
284,Salt Lake County,-111.86841979895594,40.71549258995971,green
285,Salt Lake County,-111.87402813378709,40.71340797810231,orange
286,Salt Lake County,-111.69138208900762,40.56123394160411,blue
287,Salt Lake County,-111.79233509964631,40.58559317824378,blue
288,Salt Lake County,-111.68222396883313,40.61846585481265,blue
289,Salt Lake County,-111.72821882854147,40.791582825050504,blue
290,Salt Lake County,-111.6891481145903,40.716183675153935,blue
291,Salt Lake County,-111.79294386114209,40.69354634188096,blue
292,Salt Lake County,-111.79593475842933,40.65955340522205,blue
293,Salt Lake County,-111.71174357492107,40.675374071572776,blue
294,Salt Lake County,-111.79417768045315,40.683590544381545,green
295,Salt Lake County,-111.79433021407257,40.675471206673414,blue
296,Salt Lake County,-111.807382875875,40.70768602574291,blue
297,Salt Lake County,-111.80050037342725,40.703542467332106,green
298,Salt Lake County,-111.81259114915004,40.70375943544803,green
299,Salt Lake County,-111.81972692932987,40.70883976108709,green
300,Salt Lake County,-111.81925509290998,40.70259316319542,blue
301,Salt Lake County,-111.82698493156234,40.70905822453151,blue
302,Salt Lake County,-111.82844795265565,40.70221274767523,green
303,Salt Lake County,-111.83179841542461,40.7076424680382,green
304,Salt Lake County,-111.83640683898756,40.70347338128989,green
305,Salt Lake County,-111.8412088003131,40.7041594720007,green
306,Salt Lake County,-111.84768048601357,40.70312620588582,green
307,Salt Lake County,-111.84374748420393,40.69437467065054,green
308,Salt Lake County,-111.85174298710304,40.695921648957295,orange
309,Salt Lake County,-111.85015876096378,40.689676045509835,green
310,Salt Lake County,-111.83644974702788,40.6931984280571,green
311,Salt Lake County,-111.8292704796327,40.696508327496055,green
312,Salt Lake County,-111.82903339216023,40.69003586027343,green
313,Salt Lake County,-111.80463652451336,40.69720136985142,green
314,Salt Lake County,-111.80634178887277,40.69086211607517,blue
315,Salt Lake County,-111.81991128844976,40.69697051724955,blue
316,Salt Lake County,-111.81953134237881,40.690637435567844,green
317,Salt Lake County,-111.80178581950373,40.68099633100457,blue
318,Salt Lake County,-111.80948366605473,40.684468848726716,blue
319,Salt Lake County,-111.8101113493372,40.67843944919819,green
320,Salt Lake County,-111.81973256824548,40.6846249324897,green
321,Salt Lake County,-111.81988835764933,40.678562529162754,blue
322,Salt Lake County,-111.84574643020706,40.6800213977282,green
323,Salt Lake County,-111.85126819533005,40.680696417029424,orange
324,Salt Lake County,-111.82950914814587,40.684339057105625,green
325,Salt Lake County,-111.8293895529861,40.67778404294844,blue
326,Salt Lake County,-111.83942299898439,40.6842179986249,green
327,Salt Lake County,-111.83806256999954,40.6781661996647,green
328,Salt Lake County,-111.8281516414053,40.67079225141275,green
329,Salt Lake County,-111.82841987740153,40.662735533355445,green
330,Salt Lake County,-111.83583634421667,40.6701450353879,blue
331,Salt Lake County,-111.8471865180455,40.670251535797526,green
332,Salt Lake County,-111.8183014081584,40.67269526599333,green
333,Salt Lake County,-111.81279717190174,40.66977943732594,blue
334,Salt Lake County,-111.80886783619123,40.66366236569969,blue
335,Salt Lake County,-111.81594395769353,40.6625355287317,blue
336,Salt Lake County,-111.81099493586395,40.65050332923072,green
337,Salt Lake County,-111.82103850896311,40.64465774607517,blue
338,Salt Lake County,-111.83116143780227,40.65027618061563,blue
339,Salt Lake County,-111.81779791218912,40.62823316940923,blue
340,Salt Lake County,-111.82926840101904,40.628982592116664,green
341,Salt Lake County,-111.80456171778792,40.62895174538686,blue
342,Salt Lake County,-111.86047569192498,40.635572138836125,green
343,Salt Lake County,-111.85990968487576,40.66036048600074,orange
344,Salt Lake County,-111.86020410875955,40.65242694772487,blue
345,Salt Lake County,-111.86010611810883,40.64523864830692,green
346,Salt Lake County,-111.84005765934444,40.66069005729819,orange
347,Salt Lake County,-111.84851224026279,40.66230636072426,blue
348,Salt Lake County,-111.8523545486033,40.653002988160715,orange
349,Salt Lake County,-111.84395837082536,40.65378102418798,green
350,Salt Lake County,-111.84002431389473,40.646128544169734,green
351,Salt Lake County,-111.84810291179186,40.643918280285526,green
352,Salt Lake County,-111.84457461744607,40.63746006320823,green
353,Salt Lake County,-111.84554875629811,40.632863678150215,green
354,Salt Lake County,-111.83934115541116,40.62780909959803,blue
355,Salt Lake County,-111.85148892616965,40.62866349039546,blue
356,Salt Lake County,-111.84616243947251,40.61858014145707,green
357,Salt Lake County,-111.8466955543583,40.618857468052006,green
358,Salt Lake County,-111.83863670803089,40.62065637726361,green
359,Salt Lake County,-111.79329885781928,40.6137337391353,green
360,Salt Lake County,-111.80848831541779,40.62032453918835,green
361,Salt Lake County,-111.81138587330526,40.6127059126446,green
362,Salt Lake County,-111.80073820118304,40.614547744036706,blue
363,Salt Lake County,-111.80253846992544,40.59200135158559,blue
364,Salt Lake County,-111.8004828048303,40.601979884314815,blue
365,Salt Lake County,-111.8199828365855,40.61816753379495,green
366,Salt Lake County,-111.8292884647308,40.61898214994569,green
367,Salt Lake County,-111.82603431176852,40.609525214189084,orange
368,Salt Lake County,-111.81443895873684,40.60689768178937,blue
369,Salt Lake County,-111.87970488068858,40.72190634242729,orange
370,Salt Lake County,-111.87974036902486,40.715512328377464,red
371,Salt Lake County,-111.87974353141571,40.70872125099473,red
372,Salt Lake County,-111.88535618234381,40.70918163038864,red
373,Salt Lake County,-111.88543448553307,40.71550917236476,green
374,Salt Lake County,-111.8854117481505,40.721902164381646,orange
375,Salt Lake County,-111.90713057881335,40.71318159641216,red
376,Salt Lake County,-111.89550137390192,40.69663013647885,orange
377,Salt Lake County,-111.90230544192778,40.68377473000292,orange
378,Salt Lake County,-111.91708913063755,40.693130311367156,orange
379,Salt Lake County,-111.90677627315462,40.693605984299396,red
380,Salt Lake County,-111.88562951630279,40.69066812565755,red
381,Salt Lake County,-111.87986449725568,40.69346995268415,orange
382,Salt Lake County,-111.88537468319072,40.69702443111476,orange
383,Salt Lake County,-111.87416416656343,40.693473241729585,green
384,Salt Lake County,-111.88561446634439,40.7028193853893,orange
385,Salt Lake County,-111.87409435979257,40.704133165735705,orange
386,Salt Lake County,-111.87984256019352,40.702429720013356,red
387,Salt Lake County,-111.85692112256845,40.69349178605257,green
388,Salt Lake County,-111.86843293598871,40.693456735233624,orange
389,Salt Lake County,-111.86264679535542,40.69350642878728,orange
390,Salt Lake County,-111.86882399150204,40.70452667539068,orange
391,Salt Lake County,-111.85853175531778,40.70266403463261,orange
392,Salt Lake County,-111.86847501193076,40.68068411812116,green
393,Salt Lake County,-111.85698056729422,40.680671898930576,orange
394,Salt Lake County,-111.8626946782923,40.680711554280286,orange
395,Salt Lake County,-111.86823792477031,40.67049129618351,green
396,Salt Lake County,-111.85928371679897,40.67161983718675,green
397,Salt Lake County,-111.86058285736776,40.66756922506466,orange
398,Salt Lake County,-111.87476876157815,40.67105247449838,orange
399,Salt Lake County,-111.87420835078018,40.68072560059029,green
400,Salt Lake County,-111.88192043794237,40.684592416274576,red
401,Salt Lake County,-111.88188870999906,40.679586314472104,orange
402,Salt Lake County,-111.88088321603986,40.66943633295411,green
403,Salt Lake County,-111.86809705912074,40.66323825278437,orange
404,Salt Lake County,-111.8848859828345,40.67664904072406,orange
405,Salt Lake County,-111.8740289165798,40.660247455272284,green
406,Salt Lake County,-111.8703216728104,40.64694848113918,orange
407,Salt Lake County,-111.87161164033435,40.65224426184934,orange
408,Salt Lake County,-111.88498379730086,40.66379597954575,orange
409,Salt Lake County,-111.9184019682395,40.650292852872155,blue
410,Salt Lake County,-111.89493918597582,40.668165318517495,orange
411,Salt Lake County,-111.90530086710164,40.670443457652524,orange
412,Salt Lake County,-111.90568041908122,40.657417078543865,orange
413,Salt Lake County,-111.91550855002497,40.65749693893405,blue
414,Salt Lake County,-111.90639618993647,40.64543737729839,orange
415,Salt Lake County,-111.91584590271658,40.642650798081355,blue
416,Salt Lake County,-111.91442193673693,40.63216045507698,green
417,Salt Lake County,-111.89523176494248,40.64919679812431,orange
418,Salt Lake County,-111.89601132946656,40.63831698752844,orange
419,Salt Lake County,-111.89753196101543,40.63123280561143,orange
420,Salt Lake County,-111.877667002383,40.653066998869086,red
421,Salt Lake County,-111.88363726846364,40.65459325017841,orange
422,Salt Lake County,-111.87974480390835,40.645148644275736,blue
423,Salt Lake County,-111.86906186256799,40.63595332332728,blue
424,Salt Lake County,-111.88100367848278,40.64021209487304,blue
425,Salt Lake County,-111.8804996423541,40.63445986033319,orange
426,Salt Lake County,-111.89805871481502,40.60845381377241,orange
427,Salt Lake County,-111.89347438542465,40.600525870077206,orange
428,Salt Lake County,-111.89994497076226,40.600867887796575,orange
429,Salt Lake County,-111.89642969054705,40.59182707918953,red
430,Salt Lake County,-111.91237508141151,40.61965302521475,orange
431,Salt Lake County,-111.91151268742867,40.59883402037428,orange
432,Salt Lake County,-111.90737258538539,40.60459043189518,orange
433,Salt Lake County,-111.89662483108326,40.624319604157684,orange
434,Salt Lake County,-111.89788489585973,40.615630689608125,orange
435,Salt Lake County,-111.87436975812128,40.62408253870061,green
436,Salt Lake County,-111.8784321661204,40.62631387820065,green
437,Salt Lake County,-111.88598771809028,40.625935810867176,orange
438,Salt Lake County,-111.86302767003939,40.62631087245042,orange
439,Salt Lake County,-111.86912355804742,40.625828336055854,green
440,Salt Lake County,-111.86189880029723,40.61942923438362,green
441,Salt Lake County,-111.86937683013619,40.61795502544877,red
442,Salt Lake County,-111.86316599356847,40.61221864628883,blue
443,Salt Lake County,-111.87713277934311,40.617811783360004,green
444,Salt Lake County,-111.88637909114594,40.61797499095439,orange
445,Salt Lake County,-111.87807497811534,40.612100997205324,orange
446,Salt Lake County,-111.88717862912772,40.61258175038992,green
447,Salt Lake County,-111.85600328888545,40.57238820805349,orange
448,Salt Lake County,-111.86159220835805,40.574653478504665,green
449,Salt Lake County,-111.86832971983905,40.57626473513868,orange
450,Salt Lake County,-111.86279157454992,40.56728850709562,orange
451,Salt Lake County,-111.87707834377674,40.57694139987294,green
452,Salt Lake County,-111.87864054678975,40.5711847381245,blue
453,Salt Lake County,-111.88688245102205,40.573870961436086,green
454,Salt Lake County,-111.89726732481515,40.57880090382101,red
455,Salt Lake County,-111.9109655545769,40.58039618072068,green
456,Salt Lake County,-111.8406526573735,40.59092741283076,green
457,Salt Lake County,-111.83930584429838,40.58408951479608,green
458,Salt Lake County,-111.84839285086395,40.591527972031834,green
459,Salt Lake County,-111.84905691499218,40.584644657369324,green
460,Salt Lake County,-111.80897050654308,40.58198993163487,blue
461,Salt Lake County,-111.82072353200901,40.582935035236225,green
462,Salt Lake County,-111.82941114760303,40.584963195414836,blue
463,Salt Lake County,-111.88151735230176,40.60770111279579,orange
464,Salt Lake County,-111.87591116457799,40.60194460742399,green
465,Salt Lake County,-111.88530257292634,40.60142782642847,green
466,Salt Lake County,-111.86733688664393,40.598463288713276,blue
467,Salt Lake County,-111.86746651370007,40.60568554743257,green
468,Salt Lake County,-111.8578813691124,40.598478511269825,blue
469,Salt Lake County,-111.85782565482921,40.605816926087556,orange
470,Salt Lake County,-111.8593297718987,40.587371503362185,green
471,Salt Lake County,-111.86857613079542,40.58854336319267,green
472,Salt Lake County,-111.83993852890052,40.57546622501619,green
473,Salt Lake County,-111.8484565413129,40.57478414165463,blue
474,Salt Lake County,-111.84553056650276,40.564787114785574,blue
475,Salt Lake County,-111.82465172063645,40.598476032932574,blue
476,Salt Lake County,-111.8167576316691,40.59915631288791,blue
477,Salt Lake County,-111.82304991230805,40.59244475859439,blue
478,Salt Lake County,-111.82262542306903,40.5891112989976,blue
479,Salt Lake County,-111.83077211157766,40.57440891983964,blue
480,Salt Lake County,-111.81567072462136,40.57375723326454,green
481,Salt Lake County,-111.83440524686691,40.56544435004028,blue
482,Salt Lake County,-111.81962489596741,40.56411751572001,blue
483,Salt Lake County,-111.82728720902274,40.56623751108881,blue
484,Salt Lake County,-111.84570160020311,40.61136229907572,blue
485,Salt Lake County,-111.84684130287543,40.60482495995328,green
486,Salt Lake County,-111.83591587724874,40.600172575329076,blue
487,Salt Lake County,-111.84406025529245,40.597004141755484,green
488,Salt Lake County,-111.876935646032,40.5962283389405,green
489,Salt Lake County,-111.8771244809644,40.590963741295994,green
490,Salt Lake County,-111.88642001597455,40.59225529884801,red
491,Salt Lake County,-111.8815399918046,40.584399643329384,green
492,Salt Lake County,-111.86746609379945,40.55514321291447,green
493,Salt Lake County,-111.85801377924768,40.555141765695325,blue
494,Salt Lake County,-111.86747098693094,40.54789954987329,green
495,Salt Lake County,-111.85807973824853,40.54790506926408,green
496,Salt Lake County,-111.85833446225745,40.53948810900797,blue
497,Salt Lake County,-111.86656802472264,40.53717934109036,green
498,Salt Lake County,-111.8575151691032,40.53024347402053,blue
499,Salt Lake County,-111.96888936084136,40.49357579522652,blue
500,Salt Lake County,-111.92806072688825,40.473108941664286,green
501,Salt Lake County,-111.95591978402817,40.47923060542212,blue
502,Salt Lake County,-111.8606349692583,40.56285586722134,green
503,Salt Lake County,-111.8677082087785,40.562691766019,green
504,Salt Lake County,-111.87634093411859,40.56202883198356,green
505,Salt Lake County,-111.88258651628367,40.564186334106545,blue
506,Salt Lake County,-111.84865582484197,40.55291827857161,green
507,Salt Lake County,-111.8398086320116,40.553076762743345,blue
508,Salt Lake County,-111.84905209837787,40.54283595468422,green
509,Salt Lake County,-111.83626700539301,40.54286595053059,blue
510,Salt Lake County,-111.82259459955615,40.54537545737988,blue
511,Salt Lake County,-111.81506209815528,40.55560536259874,green
512,Salt Lake County,-111.84539762021232,40.53381226048607,blue
513,Salt Lake County,-111.79490992376071,40.5293308740194,blue
514,Salt Lake County,-111.86109110226904,40.51721089185913,blue
515,Salt Lake County,-111.86301315458415,40.50378260501587,blue
516,Salt Lake County,-111.8818966521483,40.49471968799266,green
517,Salt Lake County,-111.905680882559,40.51480826917509,green
518,Salt Lake County,-111.9018270441887,40.55749954999242,green
519,Salt Lake County,-111.9113549973082,40.5350358813585,blue
520,Salt Lake County,-111.90140283930548,40.49528209322993,blue
521,Salt Lake County,-111.88635268257434,40.51362866348673,green
522,Salt Lake County,-111.87532404260573,40.51441890509033,blue
523,Salt Lake County,-111.88632489995217,40.475474468100856,green
524,Salt Lake County,-111.85793731050433,40.49280563973082,green
525,Salt Lake County,-111.8445993597723,40.517082729793465,blue
526,Salt Lake County,-111.84019539816742,40.49072823371805,blue
527,Salt Lake County,-111.88529692754962,40.55133735698501,green
528,Salt Lake County,-111.8759974499033,40.55189159628897,green
529,Salt Lake County,-111.87657049331789,40.54060781913643,green
530,Salt Lake County,-111.88648684414392,40.54068018956573,orange
531,Salt Lake County,-111.87978742117241,40.53170879163317,green
532,Salt Lake County,-111.96951690575366,40.63474285591462,green
533,Salt Lake County,-111.9733610535491,40.630482415641474,green
534,Salt Lake County,-111.98001617663633,40.62795310726626,green
535,Salt Lake County,-111.98116466901958,40.63435695679013,orange
536,Salt Lake County,-111.95308501468575,40.63510581628525,green
537,Salt Lake County,-111.95305752939558,40.62784256872039,green
538,Salt Lake County,-111.96259683334127,40.63131077239883,blue
539,Salt Lake County,-111.94604490764897,40.617097078319645,orange
540,Salt Lake County,-111.94354409235585,40.63131437073814,green
541,Salt Lake County,-111.94142355129776,40.616535948643495,orange
542,Salt Lake County,-111.97727835043626,40.616303454509456,green
543,Salt Lake County,-111.97006873987422,40.61660122881359,blue
544,Salt Lake County,-111.95298712886976,40.61972768925315,blue
545,Salt Lake County,-111.96260296194004,40.61676887178795,blue
