,OBJECTID,GEOID,county,Tract,Low,Lowmod,Lowmod_pct,category,geometry,longitude,latitude,County_encoded,category_encoded
46,199106,490111258011,Davis County,125801,1345,1850,0.6789,orange,POINT (-111.99126826849923 41.085247038211214),-111.99126826849923,41.085247038211214,0,2
47,199107,490111258012,Davis County,125801,95,395,0.5524,orange,POINT (-111.99799990024113 41.08229876617819),-111.99799990024113,41.08229876617819,0,2
48,199108,490111258013,Davis County,125801,150,695,0.4894,green,POINT (-112.00264830985658 41.081574673682994),-112.00264830985658,41.081574673682994,0,1
49,199109,490111258014,Davis County,125801,440,1090,0.5477,orange,POINT (-111.9899706296768 41.0774139991543),-111.9899706296768,41.0774139991543,0,2
50,199110,490111258041,Davis County,125804,165,480,0.1924,blue,POINT (-111.92961920885831 41.09932250933222),-111.92961920885831,41.09932250933222,0,0
51,199111,490111258042,Davis County,125804,4,60,0.0656,blue,POINT (-111.91733299889435 41.09558749368201),-111.91733299889435,41.09558749368201,0,0
52,199112,490111258043,Davis County,125804,365,600,0.2817,green,POINT (-111.92357736562231 41.09595408414096),-111.92357736562231,41.09595408414096,0,1
53,199113,490111258044,Davis County,125804,75,205,0.1595,blue,POINT (-111.9506645763638 41.09611822509208),-111.9506645763638,41.09611822509208,0,0
54,199114,490111258051,Davis County,125805,185,425,0.5,green,POINT (-111.9793926651416 41.08348671105077),-111.9793926651416,41.08348671105077,0,1
55,199115,490111258052,Davis County,125805,365,890,0.3048,green,POINT (-111.96671038706914 41.078319215849405),-111.96671038706914,41.078319215849405,0,1
56,199116,490111258053,Davis County,125805,470,905,0.3209,green,POINT (-111.96587292502169 41.08545680199125),-111.96587292502169,41.08545680199125,0,1
57,199117,490111258071,Davis County,125807,560,1205,0.6292,orange,POINT (-111.9666251933424 41.093032218251096),-111.9666251933424,41.093032218251096,0,2
58,199118,490111258072,Davis County,125807,505,665,0.6364,orange,POINT (-111.96656659684086 41.10023406770774),-111.96656659684086,41.10023406770774,0,2
