,datetime_pulled,sensor_index,latitude,longitude,pm10.0,scattering_coefficient,deciviews,visual_range,humidity,temperature,pressure,altitude,voc
168,2024-02-29 20:22:06.151755,109530,40.73202,-111.81282,1.4,2.9,3.0,289.4,20.0,61.0,842.08,4987.0,
169,2024-02-29 20:22:06.151755,110710,40.896187,-111.85138,2.3,5.0,4.7,245.1,16.0,62.0,840.96,5016.0,
170,2024-02-29 20:22:06.151755,111526,41.04566,-111.926216,0.0,,,,19.0,64.0,854.79,4514.0,
171,2024-02-29 20:22:06.151755,112862,40.860847,-111.847466,0.0,0.5,0.6,368.1,20.0,57.0,823.08,5624.0,
172,2024-02-29 20:22:06.151755,112884,40.744972,-111.848,0.0,,,,18.0,63.0,853.39,4573.0,
173,2024-02-29 20:22:06.151755,113612,40.71572,-111.87558,0.0,,,,18.0,65.0,863.87,4281.0,
174,2024-02-29 20:22:06.151755,114467,41.06316,-111.90332,0.0,,,,19.0,60.0,837.69,5104.0,
175,2024-02-29 20:22:06.151755,114549,40.849373,-111.879906,0.0,,,,20.0,59.0,844.56,4922.0,
176,2024-02-29 20:22:06.151755,115273,41.063267,-111.95844,2.0,5.0,4.7,244.7,22.0,61.0,860.07,4385.0,
177,2024-02-29 20:22:06.151755,120419,40.75687,-111.8557,3305.6,0.6,0.7,364.1,16.0,63.0,855.22,4547.0,
178,2024-02-29 20:22:06.151755,120493,40.877953,-111.869354,0.0,,,,19.0,61.0,854.63,4568.0,
179,2024-02-29 20:22:06.151755,120861,40.74004,-111.8453,0.0,,,,18.0,61.0,853.54,4588.0,
180,2024-02-29 20:22:06.151755,122011,40.6398,-111.82251,0.0,0.5,0.5,369.7,18.0,63.0,856.57,4499.0,
181,2024-02-29 20:22:06.151755,122091,40.665512,-111.81143,0.0,,,,18.0,61.0,853.93,4574.0,
182,2024-02-29 20:22:06.151755,125011,40.646297,-111.83664,0.0,,,,18.0,63.0,858.84,4414.0,
183,2024-02-29 20:22:06.151755,126559,41.11814,-112.031425,0.0,,,,27.0,59.0,854.94,4494.0,
184,2024-02-29 20:22:06.151755,127577,40.69866,-111.85807,0.0,0.5,0.6,367.6,18.0,62.0,861.45,4337.0,
185,2024-02-29 20:22:06.151755,129149,40.70908,-111.854034,0.1,0.5,0.6,366.9,14.0,63.0,859.04,4414.0,
186,2024-02-29 20:22:06.151755,129167,40.633476,-111.86767,0.0,1.1,1.2,344.7,19.0,61.0,859.5,4397.0,
187,2024-02-29 20:22:06.151755,129169,40.7329,-111.83855,0.0,,,,16.0,62.0,854.32,4561.0,
188,2024-02-29 20:22:06.151755,129303,40.773415,-111.86778,0.0,,,,17.0,64.0,855.26,4513.0,
189,2024-02-29 20:22:06.151755,129333,40.705807,-111.86831,0.0,,,,19.0,62.0,862.32,4301.0,
190,2024-02-29 20:22:06.151755,129335,40.78386,-111.87021,0.0,,,,,,,4891.0,
191,2024-02-29 20:22:06.151755,129337,40.74115,-111.86375,0.0,,,,17.0,65.0,862.0,4325.0,
192,2024-02-29 20:22:06.151755,129689,40.77824,-111.87601,3330.0,3.7,3.6,272.4,18.0,63.0,853.56,4611.0,
193,2024-02-29 20:22:06.151755,129691,40.661354,-112.00586,0.1,,,,21.0,60.0,854.83,4560.0,
194,2024-02-29 20:22:06.151755,129727,40.68852,-111.959755,0.0,,,,17.0,63.0,863.66,4270.0,
195,2024-02-29 20:22:06.151755,131045,40.622456,-111.80916,0.0,0.6,0.7,365.4,17.0,61.0,846.07,4812.0,
196,2024-02-29 20:22:06.151755,134432,40.698456,-111.811455,0.0,,,,,,,4756.0,
197,2024-02-29 20:22:06.151755,134552,40.78668,-111.93288,0.3,,,,21.0,59.0,864.96,4222.0,
198,2024-02-29 20:22:06.151755,141894,40.6275,-111.87109,1.1,6.0,5.4,227.7,20.0,59.0,862.02,4414.0,
199,2024-02-29 20:22:06.151755,148045,40.740265,-111.8304,0.9,3.7,3.6,271.2,14.0,66.0,851.57,4669.0,
200,2024-02-29 20:22:06.151755,148637,40.694,-111.835495,0.8,3.5,3.5,275.1,20.0,59.0,855.23,4529.0,
201,2024-02-29 20:22:06.151755,150790,40.681103,-111.82541,2.5,4.4,4.2,256.5,19.0,61.0,855.78,4559.0,
202,2024-02-29 20:22:06.151755,155177,40.681572,-111.86667,2.1,8.5,6.6,210.4,18.0,63.0,862.29,4308.0,
203,2024-02-29 20:22:06.151755,156037,40.722088,-111.81881,1.6,3.6,3.6,273.2,19.0,61.0,848.52,4698.0,
204,2024-02-29 20:22:06.151755,156623,40.746613,-111.84749,2.9,5.5,4.8,247.6,20.0,58.0,852.88,4598.0,
205,2024-02-29 20:22:06.151755,161605,40.796906,-111.88152,2.0,3.9,3.9,265.0,15.0,64.0,838.28,5083.0,134.4
206,2024-02-29 20:22:06.151755,165997,40.733875,-111.84109,2.3,4.9,4.6,246.5,18.0,63.0,854.66,4561.0,
207,2024-02-29 20:22:06.151755,168215,40.677616,-111.83469,2.2,3.4,3.4,276.7,16.0,62.0,857.36,4458.0,57.1
208,2024-02-29 20:22:06.151755,169779,40.769947,-111.847015,4.8,7.9,6.7,200.3,17.0,62.0,850.18,4758.0,55.4
209,2024-02-29 20:22:06.151755,169851,40.90276,-111.87242,2.6,4.8,4.5,247.9,16.0,66.0,860.36,4361.0,294.8
210,2024-02-29 20:22:06.151755,169867,40.8716,-111.9032,3.6,5.4,5.0,237.1,16.0,62.0,861.24,4306.0,331.6
211,2024-02-29 20:22:06.151755,174555,40.722404,-111.823616,1.8,3.1,3.2,283.6,14.0,66.0,851.79,4621.0,136.5
212,2024-02-29 20:22:06.151755,189031,40.640045,-111.93181,2.4,4.1,4.0,260.5,13.0,66.0,861.15,4331.0,292.3
213,2024-02-29 20:22:06.151755,194651,40.852215,-111.93701,2.3,4.1,4.0,261.3,13.0,64.0,864.33,4229.0,68.4
