,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
26,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-03,00:00,2023-01-03,07:00,6.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
27,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-04,00:00,2023-01-04,07:00,15.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
28,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-07,00:00,2023-01-07,07:00,6.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
29,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-08,00:00,2023-01-08,07:00,9.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
30,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-09,00:00,2023-01-09,07:00,6.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
31,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-12,00:00,2023-01-12,07:00,13.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
32,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-13,00:00,2023-01-13,07:00,23.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
33,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-14,00:00,2023-01-14,07:00,14.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
34,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-17,00:00,2023-01-17,07:00,6.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
35,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-18,00:00,2023-01-18,07:00,9.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
36,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-19,00:00,2023-01-19,07:00,9.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
37,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-20,00:00,2023-01-20,07:00,9.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
38,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-21,00:00,2023-01-21,07:00,11.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
39,49,057,1003,85101,1,41.303614,-111.987871,WGS84,PM10 - LC,2023-01-22,00:00,2023-01-22,07:00,12.0,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Utah,Weber,2023-02-16,36260
